strategy_name,signal_type,instrument,timeframe,direction,entry_date,entry_price,stop_price,exit_date,exit_price,exit_type,volume,commission,profit_abs,profit_eq_pc,start_equity
EGLD-USDT-SWAP_H1_ENVELOPE_CROSS_False_True_True,ENVELOPE_CROSS,EGLD-USDT-SWAP,H1,Short,2021-04-05 03:00:00,162.915,168.187,2021-04-05 04:00:00,162.914,take_profit,0.8,0.1303316,-0.12953159999999617,-0.0012989545897209899,9971.98832238
ETH-USDT-SWAP_H4_EXPANSION_False_False_True,EXPANSION,ETH-USDT-SWAP,H4,Short,2021-04-05 04:00:00,2023.64,2087.25,2021-04-05 12:00:00,2087.3,stop,0.02,0.04110940000000001,-1.3143094000000017,-0.013184050398867504,9968.93488903
ETH-USDT-SWAP_H4_EXPANSION_False_True_False,EXPANSION,ETH-USDT-SWAP,H4,Short,2021-04-05 04:00:00,2023.64,2087.25,2021-04-05 08:00:00,2023.63,take_profit,0.012,0.024283620000000002,-0.02416362000000011,-0.0002423891846920397,9968.93488903
ETH-USDT-SWAP_H4_EXPANSION_False_False_True_w,EXPANSION,ETH-USDT-SWAP,H4,Short,2021-04-05 04:00:00,2023.64,2087.25,2021-04-05 12:00:00,2087.3,stop,0.053,0.10893991000000003,-3.4829199100000046,-0.03493773355699889,9968.93488903
ETH-USDT-SWAP_H4_EXPANSION_False_True_False_w,EXPANSION,ETH-USDT-SWAP,H4,Short,2021-04-05 04:00:00,2023.64,2087.25,2021-04-05 08:00:00,2023.63,take_profit,0.021,0.04249633500000001,-0.0422863350000002,-0.00042418107321106957,9968.93488903
BTC-USDT-SWAP_H4_EXPANSION_False_True_True,EXPANSION,BTC-USDT-SWAP,H4,Short,2021-04-05 04:00:00,57370.1,58428.6,2021-04-05 08:00:00,57269.9,take_profit,0.0045,0.25794,0.1929599999999868,0.0019356130032740363,9968.93488903
AVAX-USDT-SWAP_H1_STOCH_False_True_True,STOCH,AVAX-USDT-SWAP,H1,Long,2021-04-05 04:00:00,30.103,27.406,2021-04-05 06:00:00,30.104,take_profit,0.6,0.0180621,-0.0174621000000014,-0.00017516515249003196,9968.93488903
DOGE-USDT-SWAP_M30_BB_CONFIRMED_False_True_False_w,BB_CONFIRMED,DOGE-USDT-SWAP,M30,Short,2021-04-05 05:00:00,0.0576459999999999,0.05881,2021-04-05 05:30:00,0.057247,take_profit,4260.0,0.2447220899999998,1.455017909999572,0.01459570989531971,9968.80535743
CFX-USDT-SWAP_H1_HHV_LLV_False_True_True,HHV_LLV,CFX-USDT-SWAP,H1,Long,2021-04-05 08:00:00,1.23375,1.12722,2021-04-05 09:00:00,1.2337600000000002,take_profit,40.0,0.049350200000000004,-0.0489501999999885,-0.0004909629627477282,9970.24291324
ETH-USDT-SWAP_M30_STOCH_False_True_True,STOCH,ETH-USDT-SWAP,M30,Long,2021-04-05 10:00:00,2045.31,1992.55,2021-04-05 10:30:00,2045.32,take_profit,0.016,0.032725040000000004,-0.03256504000000015,-0.0003266197920910353,9970.320473085
BTC-USDT-SWAP_H4_EXPANSION_False_True_True,EXPANSION,BTC-USDT-SWAP,H4,Long,2021-04-05 12:00:00,57780.9,56734.5,2021-04-05 16:00:00,59042.4,take_profit,0.0046,0.26869359000000004,5.53420641,0.055506986970100064,9970.287908045
ETH-USDT-SWAP_M30_HHV_LLV_False_False_True_w,HHV_LLV,ETH-USDT-SWAP,M30,Long,2021-04-05 14:00:00,2094.94,2070.28,2021-04-06 07:30:00,2099.83,be,0.12,0.2516862,0.33511379999998464,0.0033627425964591175,9965.490678735
ETH-USDT-SWAP_M30_ENVELOPE_BREAKTHROUGH_True_False_False,ENVELOPE_BREAKTHROUGH,ETH-USDT-SWAP,M30,Long,2021-04-05 14:00:00,2096.53,2072.62,2021-04-06 00:00:00,2109.13,exit,0.03,0.0630849,0.3149150999999973,0.0031600561392524634,9965.490678735
ETH-USDT-SWAP_M30_HHV_LLV_False_False_True,HHV_LLV,ETH-USDT-SWAP,M30,Long,2021-04-05 14:00:00,2094.94,2073.77,2021-04-06 07:30:00,2099.13,be,0.068,0.14259838,0.14232162000000373,0.0014281446301856334,9965.490678735
ETH-USDT-SWAP_M30_ENVELOPE_BREAKTHROUGH_True_False_True_w,ENVELOPE_BREAKTHROUGH,ETH-USDT-SWAP,M30,Long,2021-04-05 14:00:00,2086.7200000000003,2064.39,2021-04-06 00:00:00,2109.13,exit,0.193,0.40489952500000015,3.920230474999972,0.039338057717170014,9965.490678735
SOL-USDT-SWAP_H1_RISE_FALL_False_True_False_w,RISE_FALL,SOL-USDT-SWAP,H1,Long,2021-04-05 15:00:00,24.676,23.35,2021-04-05 21:00:00,23.3,stop,2.38,0.05709143999999999,-3.331971439999994,-0.03343509664917923,9965.490678735
